Category,NNHS:2018,PCCS:2018,NHMIS:2018
National,64.7,87.5,75.2
Rivers,75.4,80.4,90.2
Ebonyi,74.6,92.3,73.6
FCT,85.4,98.3,130
Nasarawa,67.1,92.5,110.5
Imo,86.8,87.9,84.4
Ogun,70,74.7,84.8
Kogi,70.8,87.4,89.1
Oyo,59.7,79.6,66.4
Kebbi,18.8,83.6,72.5
Cross River,75.3,88.5,82
Delta,79.7,93.8,71
Kaduna,68,78,98.5
Niger,69.4,90.1,84.6
Abia,86.4,85.7,64.7
Adamawa,68.4,93.9,86.8
Anambra,77.2,95.7,87
Borno,54.6,72.2,118.6
Jigawa,62,95.1,87.3
Gombe,63,92.7,79.5
Ondo,85.2,92.3,69.9
Taraba,66.1,93,84.3
Akwa Ibom,63.5,84.6,67.5
Lagos,95.6,93.8,69.9
Kwara,63.1,94.3,67.4
Enugu,79.7,90.5,37.5
Osun,70.6,78.7,63.6
Yobe,64.5,91,72.5
Zamfara,20.4,86.8,76.1
Plateau,71.1,96.5,66.3
Kano,49,75.5,65
Katsina,15.8,91.9,71.2
Edo,87.5,88.6,56
Benue,60.4,83.2,50.9
Bauchi,54.5,81.4,61.9
Sokoto,23.7,86.9,57.1
Ekiti,92.3,95.3,64.3
Bayelsa,51.7,94.2,56.3
